Date,Text_clean,Sentiment
2020-12-28,A few of my favorites for this weekLong  DIS VERI LCA MBIO CBLI Short  BLNK ZM FEYE RMG Themes to watch  Cannabis Jan 5 vote getting close ACB CGC etcSolarEnergy  SUNW POLA OEG CLNE CLSK OPTTCrypto BTC hot  RIOT MARA MOGO NXTD,positive
2020-12-27,Favorites  AMZN ARCT ASAN ATOM CCCC COUP CRLBF CRSR CVAC DBX DOCU EXAS FLGT FSLY FUBO FUV HOLX INSG IPOC ISRG LAC LASR MRVI MWK NIO NK NNOX NVAX ONCT PDD PLTR PRPL QDEL QTRX RUN SHOP STAA SUPN TDOC TXG UBER VERI VFF VIPS VVPR,positive
2020-12-27, alerted short YHOO 268 on March Puts  BLNK GEVO RMG SIF AVGR GTEC OBLN BLNK ONCT ARCT KNDI SOLO AQB TNXP GMDA VERI GIX CBAT SUNW AFMD PSNL,negative
2020-12-27,VERI was 1 in March Now its 30 stocks stockmarket stock Stock2020 Investor DRIP investing invest investment investors investments growthstocks options OptionsTrading stockstobuy StocksToTrade stockstowatch ESF Futures generationalwealth moneytwitter,positive
2020-12-27,yah nobody like VERI at 3 love at 31 boom love GEVO at 80 as IP alone values over 400M ,negative
2020-12-27,VERI 31 LONG AI NVDA ,neutral
2020-12-27,Tomrrows watchlist for NYSE NASDAQ between 30 and 40 AIRT CIIC EGHT ELAN ENB EWZ GDX INDA KBH KDP KHC KR MGNI MIC MNSO ON PFF PRPL RMG STOR TPR VER VERI VIAC,negative
2020-12-27,ADRFUTU BZUN 10 EH 323DPLUG LTHM BE MTLS NNDM CELH VERI 1125 ,positive
2020-12-27,Do you like ChartsAMD APPS CELH CRSR CRWD ENPH ETSY EXPIFTCH FVRR GRWG MELI NET NIO NVCR PINS PLTR PTON ROKU SE SHOP SNAP SQ TSLA TTD TWLO UPWK Z ZSEDIT LSPD CRSP UBER PLTR ZI SWAV FROG MRVI RXT FUTU EH VERI,positive
2020-12-26,Best performing stocks so far in 2020Novavax NVAXBlink BLNKVaxart VXRTKirkland KIRKCardiff CRDFGreenPower GPGenprex GNPXAgEagle UAVSBit Digital BTBTTrillium TRILMarathon MARAVeritone VERICoDiagnostics CODXNautilus NLSBEEMRIOTQSNIOPLUG,positive
2020-12-26,    Ill pick a name no one else picked to keep this more interesting  Ill go with VERI  please change my pick formerly aunt JMIA,positive
2020-12-26,VERI Posted earlier about this stock Want to participate above 31 to target 4950 area ,positive
2020-12-26,boxl avgr vxrt aal novn nio opti fsr acb ibio sbe xpev wkhs sndl sunw pfe gme ino spy hexo xspa srne dkng hexo blnk cidm nbac dmyt ghmi veri rvlv psth apxt idexNNDM BFT MVIS UAVS WARNING Got FUBO DO THIS NOW   ,negative
2020-12-25,VERI Has A Neutral Fundamental Analysis Score FA Score Check various FA Indicators value score 5year chart like PE PB PS DE ROE ROA ROIC Gross Margin EBITDA etc stocks stock StockMarket Investment investing  ,neutral
2020-12-25, alerted AVXL 74  See Track Record ADXS BIOL TRCH POAI ILIKF BTC NK GTEC OBLN BLNK ONCT ARCT KNDI SOLO AQB TNXP GMDA VERI GIX CBAT SUNW AFMD PSNL,negative
2020-12-25,Stocks to watch Dec 28 thru Dec 31 ceLh meg veri omer mei maxr meso ccxx nk fsLy amp TURN 180 Capital Corp the catalyst  ,positive
2020-12-25,VERI ,positive
2020-12-24,ATH COMING VERI SOON   SAFEST     ,positive
2020-12-24, alerted short YHOO 268 on March Puts  BLNK GEVO RMG SIF AVGR GTEC OBLN BLNK ONCT ARCT KNDI SOLO AQB TNXP GMDA VERI GIX CBAT SUNW AFMD PSNL,negative
2020-12-24,2 of 4TechSvcs 022 9 of 20 UpRetail 036 23 of 42 Up gt4 BLNK PDDEnergyUtil 053 8 of 20 Up gt4 NFESoftware 071 27 of 70 Up gt4 CLSK VERIHealthcare 078 18 of 49 Up gt4 LGVWLeisure 085 9 of 27 Up gt4 NGMS,positive
2020-12-24,VERI 3055 LONG ,positive
2020-12-24,VERI  UPDATE Shares are trying to rally back to ATHs pushing 48 higher this morning Solid reversal candle for the first hour of todays session but needs to hold the strong momentum Yesterdays reversal was not ideal for the bull case to start the next leg higher ,positive
2020-12-24,VERIs price moved above its 50day Moving Average on November 3 2020 View odds for this and other indicators  Veritone stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-24,23122020 3 Buy TENABLE HOLDINGS  5488 TENB Buy MAGNITE  3172 MGNI Buy INSU ACQUISITION CORP  1598 INAQ Buy VERITONE  067 VERItodaytradings mainaccount stocks StocksToTrade scalping swingTrading,positive
2020-12-24,VERI  ,positive
2020-12-24,boxl avgr vxrt aal novn nio opti fsr acb ibio sbe xpev wkhs sndl sunw pfe gme ino spy hexo xspa srne dkng hexo blnk cidm nbac dmyt ghmi veri rvlv psth apxt idexNNDM BFT MVIS UAVS WARNING Got MVIS DO THIS NOW   ,negative
2020-12-24,Wed 122320 Green to Red greatest  below the opening 30min high amp trading range lt 20 Min 5 Vol gt 750K Opt Vol in any strike gt 250 VUZI DQ WWR VERI NNDM CGEN PRTY PRTS HGEN CERS FSLR ATEN SKLZ CSIQ NVTA SPWR PAYX NLS FUTU SFT IAC CRNC GRWG BB ,negative
2020-12-24,SQ REAL VERIIQ62 ,positive
2020-12-24,Most Volatile 1215SAMABRNSBTXRAILCASIBPTAMRSBDRLGNDSLDBDSIMGNCMPIJFUDUOANCNVERIKLXEPOWWPMDIDRARIGACCDATLCFARMLMPXZIOPHEPAXTLBLLITARMPTYMEKOSCMPSPRVLOLMAAUTLFRANFAMIFULCPRTAIPOBOEGLGHLWRLD,negative
2020-12-24,Top losers 1215NVUSGTECADTXLPITISISMMNAPRNFLGTHYFMCLROMAXAXASMNPRBVXVKLXECASITYMEPSNLANCNIDYRCWCTXRPBFARKREPMECHOTOURVERIKOSSINOPHXFLNTMDJHVRCACMPIBSGMIPDNKRONCOEXCURDASHTDACDPWMBIIYQ,negative
2020-12-24,Most Volatile 1223ACRXTCLOAKIGCRICKCGROBWENVRCATCSAVCTVERIDNLIGRVYELVTATLCINDONVFYIOGMBLLACDYNPLSELPTHMNPRHROWFTEKFSRREPLOLMAEYEGMTLLYRACETXUTSIWTERKRONMOGUANVSOGISIOXLTBR,negative
2020-12-23,FRSX another big winnerDont miss the next one See Track Record and subscribe today OCGN FRSX ACST VVPR WATT ONTX BNGO ARCT KNDI SOLO AQB TNXP GMDA VERI GIX CBAT SUNW AFMD PSNL PLG UUUU AOSL PPSI ,positive
2020-12-23,AHCO VERI SOLO ,neutral
2020-12-23, alerted NGD 102  See Track Record  DMTK PERI EVGN CYCC OGEN GHSI EYES ARCT KNDI SOLO AQB TNXP GMDA VERI GIX CBAT SUNW AFMD PSNL PLG UUUU AOSL PPSI,negative
2020-12-23,HighlightsHugeXL FCELStrongGHIV LAC FSR GAN DMPullMARAbig CRSR VLDR VERIProfitXLclosedPosition addVERI HEAR TPIC CACCSell VLDR Jan15 2250 PutSell LI Jan29 29 PutBreakeven day expected some pulls after quite a few monster moves,positive
2020-12-23, The SEC shut down the VERI token it could do the same with XRP just ask  ,negative
2020-12-23,Investor Ideas AIEYE Podcast Special 500th Edition  Interview with Veritone NasdaqGS VERI President Ryan Steelberg artificialintelligence AI AIstocks technews techforgood techstocks ,positive
2020-12-23,VERI Holding vwap from low so far Looking for a hold and break out over 32 29 risk ,positive
2020-12-23,Investor Ideas The AIEYE Podcast Special 500th Edition Interview with Veritone NasdaqGS VERI President Ryan Steelberg Stocks markets Finance Business investing machinelearning tech Technology artificialintelligence AI ,positive
2020-12-23,Fully out of VERI with my final position closing at 15 gains Believe we got upwards of 23 out of this one as we scaled out ,positive
2020-12-23,Position adds VERI HEAR,positive
2020-12-23,Investor Ideas The AIEYE Podcast 500th Special Edition Interview with Veritone NasdaqGS VERI President Ryan Steelberg artificialintelligence AI machinelearning tech Technology ,positive
2020-12-23,2020  Best Tech Stocks Great to see EXPI on this list  stocks JMIA OSTK APPS VERI FVRR EXPI ,positive
2020-12-23,Investor Ideas AIEYE Podcast 500th Special Edition Interview with Veritone NasdaqGS VERI President Ryan Steelberg artificialintelligence AI  Stocks markets Finance Business investing ,positive
2020-12-23,Held onto VERI for too longPoor decision but i ended up getting out,negative
2020-12-23,VERI has been a nice quick trade for me It moved quick Ive reduced to a 35 position sitting on 17 gains It may be running out of steam well see ,positive
2020-12-23,AI Eye Podcast 500 Special Edition Interview with Veritone NasdaqGS VERI President Ryan Steelberg ,positive
2020-12-23,Midday Green to Red greatest  below the opening 30min high amp trading range lt 20 Min 5 Vol gt 750K Opt Vol in any strike gt 250 WWR VERI PRTS CSIQ SKLZ SPWR FSLR BILI REAL PAYX AGI BB ,negative
2020-12-23,My Top 5 Holding going into 2021LSPD AMZN MGNI IPOC VERI,positive
2020-12-23,VERIs in Downtrend Moving Average Convergence Divergence MACD Histogram just turned negative View odds for this and other indicators  Veritone stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-23,VERIs price moved above its 50day Moving Average on November 3 2020 View odds for this and other indicators  Veritone stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-23,Top portfolio movers so far todayXL 45FCEL 14DM 10PLTR 3VERI 3,positive
2020-12-23,3333 hod VERI ,positive
2020-12-23,VERI  UPDATE Massive rejection as shares actually turned negative briefly Now fluctuating around 2 Tough action stay patient Its possible we see a shakeout to retest the lowerbound of the ascending wedge I might be interested in adding below 28 vs current 31 ,negative
2020-12-23,Got into VERIWill see how it acts but its not starting out too well,negative
2020-12-23,VERI calls ran 100    analysis posted last night,positive
2020-12-23, VERI PERI SSTK 3,positive
2020-12-23,VERI  UPDATE Price is struggling to hold the breakout over the top resistance level at 3229 after bouncing as much as 10 to start the session Currently 7 but need to see resilience here Either way great price action amp I like the way the EMAs are trending higher  ,positive
2020-12-23,VERI first PT achieved  over 32 now  ,positive
2020-12-23, Can we make VERI do the same please ,positive
2020-12-23,VERI 60 on the calls so far,positive
2020-12-23,2020 market theme song pump SPY QQQ IWM FUBO NVAX VXRT BLNK NIO NUZE GNPX UAVS KIRK CRDF MARA TRIL MVIS FCEL BEEM GP NLS PLUG CODX VERI RIOT  ,negative
2020-12-23,PERI VERI ,positive
2020-12-23,VERI Selling another 20 here premarket Still riding 50 Swing is up 23,positive
2020-12-23,10 VERI PERI AQB WATT BLI  PERI ,positive
2020-12-23,  What about Veri  Anything thats a perceived to be a  threat to bankers gets fucked over,negative
2020-12-23,boxl avgr vxrt aal novn nio opti fsr acb ibio sbe xpev wkhs sndl sunw pfe gme ino spy hexo xspa srne dkng hexo blnk cidm nbac dmyt ghmi veri rvlv psth apxt idexNNDM BFT MVIS stocksHolding FUBO DO THIS NOW   ,positive
2020-12-23,VERI swing ideaEntry under 30PT 3234Stoploss under 28,positive
2020-12-23,VERI Big potential for a breakout here soon Expecting this to test 3285 and if it breaks 34 Jan 15 35 CALLS idea Watch for 31 breakTrading Stocks Stockmarket TSS NYSE NASDAQ daytraders wallstreet charts technicalanalysis invest OptionsTrading Options ,positive
2020-12-23, We need a good write up on  MGNI ACUIF VERI PERI and FLNT others,negative
2020-12-23, VERI  PERI are on my list VERI was just in industry focus but a deep dive is still needed to understand the 1000 run up this year,negative
2020-12-23,VERI Entered this swing yesterday on a 20ma test Already up 20 Love those strong reversals ,positive
2020-12-22,boxl avgr vxrt aal novn nio opti fsr acb ibio sbe xpev wkhs sndl sunw pfe gme ino spy hexo xspa srne dkng hexo blnk cidm nbac dmyt ghmi veri rvlv psth apxt idexNNDM BFTHolding MVIS DO THIS NOW ,positive
2020-12-22,Core They could cease the coins like they did with VERI  I know  had a tough time  I may have got it wrong but Reggie may correct me,positive
2020-12-22,VERI This can move  Nice break from consolidation today ,positive
2020-12-22,HighlightsHugeMARA LAC XL FCELStrongPLUG VLDR VERI TPIC DM GAN VRMPullOSTK LI BYDDF XPEV NIOProfitMARA TTCF VLDRPosition addOSTK BABA BYDDFVery wild day but strong again overall hope you had a good day too,positive
2020-12-22,Top gainers 1222TSHATWSTUAVSUEPSUPSTUSIOUTSIVCYTVERIVISLVLDRVSTOVUZIVVPRWBAIWKHSWWRYGMZZIXI,negative
2020-12-22,What a day Portfolio closed 359 for my best day yet in terms of  gain Returns were led by RIOT CLDR VERI PBW ARKG Many great performers in Z BILL CHGG PENN PLNHF Returns anchored by CRDF CLDX UMC SDC 20 positions with more than 1 vs 7 worse than 1 ,positive
2020-12-22,2020  Best Tech Stocks  stocks JMIA OSTK APPS VERI FVRR EXPI ,positive
2020-12-22,veri veritone veri ai ia intelligenceartificielle artificialintelligence nvidia nvidia Veritoneinc  4 principales tendances de lIA pour les centres de contacts en 2021  ,positive
2020-12-22,Top gainer 1221COCPGOROQUMUGLYCMDJHASMRMGNETENOVAINFUBNEDNISNMNTXBASIQDELTTOOPROGSBEVERIRGLSPEIXONCTXENEHMSYCLXTCRTDCLNEALDXSPWRAUVIVERBGMBLALTCVETAEMDGVPVBIVDMYDCRSRXSPARNACHWYPRTYSPROLQDT,positive
2020-12-22,2 of 5Software 240 53 of 69 Up gt6 JG RIOT FUBO FEYE LSPD VERITelcomElctrn 207 22 of 36 Up gt6 LPTH MVIS VLDR AKTS INSGHealthcare 175 32 of 49 Up gt6 EAR CDXS LGVW PACB ACCDFinance 127 8 of 15 Up gt6 TIGR SI,positive
2020-12-22,4 of 4ALVR 27xAV 127PLUG 27xAV 69VERI 27xAV 73SPWR 25xAV 105FSLR 24xAV 73PACB 23xAV 99SRAC 23xAV 83BGFV 2xAV 78CIIC 16xAV 61,positive
2020-12-22,HLD VERI,positive
2020-12-22,VERI 3100 LONG AI ,positive
2020-12-22,VERI ,positive
2020-12-22,VERI to 30 was exceptionally quick diaboliccharts  ,negative
2020-12-22,VERI Reducing another 20 Still riding 70 of my position Up 19 on this swing ,positive
2020-12-22,VERI  UPDATE Looking great 113 so far Mindful of resistance at 3132 which failed to break amp hold twice already Currently at 3075 Good news is that the 21 EMA yellow has had a bullish crossover with the 55 EMA teal on 30mins candles Monitoring closely  ,positive
2020-12-22,VERI basing above the key 25 level after an institutional buy one to watch more closely,positive
2020-12-22,VERI boom boom   ,positive
2020-12-22, VERI  ,positive
2020-12-22,VERIVLDR,positive
2020-12-22,VERI was 1 in March Now its 27 stocks stockmarket stock Stock2020 Investor DRIP investing invest investment investors investments growthstocks options OptionsTrading stockstobuy StocksToTrade stockstowatch ESF Futures generationalwealth moneytwitter,negative
2020-12-22,Portfolio names on watch todayVLDR MARA PIC TTCF continuationOSTK overdue a move showing signs of an uptrend but still within sideways consolidation zoneDM was poised new press with F this morningPLTR triangle breakoutVERI RKT due a move,negative
2020-12-22,OZON Citigroup Neutral 48 REZI JP Morgan Overweight 28 SAMG Janney Buy 1850 SHSP Needham Buy 25 SLM RBC Capital Mkts Sector Perform 14 VERI Stifel Hold 25 VMC Morgan Stanley EqualWeight 150,neutral
2020-12-22,VERI RPRX ,positive
2020-12-22,Revised my chart of VERI a little bit watch this one tomorrow ,positive
2020-12-22,VERI in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  Veritone stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-22,Watchlist 22Dec2020VERI PLTR SOLO SPCE ,neutral
2020-12-22,May be SFIX should consider using VERI aiWare model to collect gather customer choices feedback reactions perhaps their habits also to come up with some actionable intelligence and decide the customer brand  ,positive
2020-12-22,As we start to look into 2021 what I likeweed stocks  MJ TLRY THCXclean energy  PLUG BE RUNtechai  AI AAPL VERILots more may be in play if these vaccines are quick and effective,positive
2020-12-22, alerted ADX 85  See Track Record HGEN AMPE SURF XELA KXIN SUNW VTGN TNXP GMDA VERI GIX CBAT SUNW AFMD PSNL PLG UUUU AOSL PPSI HGSH AQB STRO RMG,negative
2020-12-22,VERI 7275w  ,positive
2020-12-21,Scan results  Bullish Engulfing today ATRA ADVM ODT GPRE NWSA ALLO UBER NWS ZYME OSUR VERI URI  ,negative
2020-12-21,Still long VERI from the initial breakout Should have added more at 25 but I wasnt sure is was a solid support line Im more convinced nowoops ,negative
2020-12-21,3 of 6Software 232 52 of 69 Up gt6 FUBO CLSK AI SUMO RIOT PLTR VERISemis 215 30 of 45 Up gt6 SOL BEEM ATOM JKS SPWR CSIQTelcomElctrn 209 19 of 36 Up gt6 LAZR VLDR DM MVIS CRSR,positive
2020-12-21,TDOC 19980VERI  PLTR ,positive
2020-12-21,VERI looks good into the rest of the week  ,positive
2020-12-21,Today was one of those marquee days that dont come along all that oftenHuge movesVLDR PIC MARA TTCF DMStrongBFCH PLTR BYDDF VERI CRSR TPIC NIO SNOWPullAFTPY FSRProfitVLDR TTCF  MARAPosition addVERI GHIV STMP AFTPY TPIC,positive
2020-12-21,VERI Nice entry on this swing today off the 20ma test We are up 8 ,positive
2020-12-21,VERI can go to 30 very quickly diaboliccharts ,negative
2020-12-21, Nio NIO y Veritone VERI,neutral
2020-12-21,VERI Wonder if this is trying to make another move here before the close Already up 5 Lets see if we get some more ,negative
2020-12-21,Rose Above Previous Days High today GBLI IMAX GEOS MRUS ZROZ TRC IPAR THMO VERI FIXX RSF SNE  ,positive
2020-12-21,wwwAHCO PLTR TDOC VERI ,positive
2020-12-21,Portfolio leaders so far todayPIC 28MARA 18TTCF 14DM 12BFCH 11BYDDF 9PLTR 7VLDR 6CRSR 6VERI 5,positive
2020-12-21,VLDR VERI  big moves so far today but both poised for a rip IMOVERI with a PT raise today moving off 20ema test,negative
2020-12-21,VERI Reduced weight to 90 Realizing a little as the swing is up 5 ,positive
2020-12-21,VERI  UPDATE Shaky throughout the session as shares reversed back into negative territory shortly after the post below Bottoming at 25 price has been moving decisively to the upside Currently 63 for the day Potential resistance at 27302760 Currently 2710 ,negative
2020-12-21,Beautiful VERI stop move to BE  ,positive
2020-12-21,VERI going vertical,positive
2020-12-21,VERI Buyers stepping in after the 20ma swing entry this morning Swing up 3 ,positive
2020-12-21,VERI very nice ,positive
2020-12-21,VERI IN AI AI  ,positive
2020-12-21,VERI bouncing nicely so far ,positive
2020-12-21,Taking a stab at VERI here Tight stop ,negative
2020-12-21,VERI Initiates Coverage On Stifel Nicolaus Hold USD 25 Target Raised by Roth Capital Buy USD 20  USD 31,positive
2020-12-21,VERI is waiting for going uptrend Next target is 36 ,positive
2020-12-21,NVDA 524 LONG VERI ,positive
2020-12-21,Long VERI at 2573 Reversing off 20ma ,positive
2020-12-21,VERI  Nice reversal Was trading 3 at the open but now sitting at 16 Price target was increased by Roth Capital to 31 from 20 and reaffirmed buy rating Stifel initiated coverage with a hold amp price target of 25 This continues to be one of my larger positions,positive
2020-12-21,VERI Roth Capital Maintains to Buy  PT 3100 ,positive
2020-12-21,Position adds VERI STMP AFTPY,positive
2020-12-21,VERI Roth Capital analyst Darren Aftahi raised the firms price target on Veritone to 31 from 20 and keeps a Buy rating on the shares,positive
2020-12-21,VERI VSAT W WELL WEX WFC WLK WMT WRI XPEV ZM ZSView the full list of newsmomentum plays on watch at  No bias  positionFind me at   66 ,neutral
2020-12-21,Portfolio heading into this weekOSTK MARA VLDR TTCF LI DKNG BYDDF PLUG SNOW RKT APPS VERI PLTR AFTPY CRSR CACC STMP DM GAN VRM FSR GHIV HEAR XPEV PIC BFCH NIO BABA LAC,negative
2020-12-21,VERI Stifel Initiates Coverage On to Hold  PT 2500 ,positive
2020-12-21,Luque Silber  En mi caso era un retrato de mi cartera aunque variaban los  porcentualmente tena ms en VERI y bastante menos en VAL por ejemplo pero todas ellas dentro en su momento skin in the game,positive
2020-12-21,VERI in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  Veritone stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-21,Watching VERI to see if it touches and reverses off the 20ma at Mondays open or else tries to gap up and break out of this wedge pattern ,positive
2020-12-21,u dont need veri good sklz right now feac the crwd open that door grwg that psnl account,positive
2020-12-21,Weekly WatchlistSmall capACBAEMDAPXTALTCALAEHEOLSEQOSJUPWLGVWNETEVERIVERUMid Large capsAAPLAALBA AMDBGBNTXCIICDIShEBAYHCACPLTR RKT SPcEWKHS VCYT,negative
2020-12-21,Week of 1221 WatchlistASTG BLNK CBAT CSIQ DOCRF EXROF FIZZ FUTU FUV IPOC JKS KIRK NETE NNDM NOVA NTLA PFE PLNHF PLTR RVP SOLO VERI WMT,negative
2020-12-20,Stocks to watch Dec 21 thru Dec 24 nk veri amrn bb fsly btai celh mei crsr rig amp AMTX AEMETIS INC the catalyst  ,positive
2020-12-20,veri veritone veri veritone   Crateur du 1er systme dexploitation au monde pour lIA aiWare  A ce jour 13 brevets 16 autres demandent de brevet en instance  ,positive
2020-12-20,boxl avgr vxrt aal novn nio opti fsr acb ibio sbe xpev wkhs sndl sunw pfe gme ino spy hexo xspa srne dkng hexo blnk cidm nbac dmyt ghmi veri rvlv psth apxt idexNNDM BFT NIO CIIC VERUMVIS Buyout Know This ,positive
2020-12-20,GT CEO will acknowledge that joint venture discussions are underway with WalMart Stores WMT announcement pendingBATRA GPP BY SSB LVMUY NUGL PPPMF VERI AEPT CPWR NEXA NEWM,negative
